,Year,Month,Day,Trial,Abalation,Darkness,Flow,Fish,Tailbeat Num,Heading,Speed,TB_Frequency
3,2021,10,06,34,Y,N,2,individual7,3,5.894126436454342,0.007358335448168688,3.75
4,2021,10,06,34,Y,N,2,individual7,4,-5.113529337404301,0.006870043481498113,4.342105263157895
5,2021,10,06,34,Y,N,2,individual7,5,89.00363723612118,0.0028664918851980816,5.167464114832535
6,2021,10,06,34,Y,N,2,individual7,6,141.9611573713349,0.005293244125020438,4.982911825017089
7,2021,10,06,34,Y,N,2,individual7,7,164.4510046765516,0.0022230456727701997,4.2857142857142865
8,2021,10,06,34,Y,N,2,individual7,8,-158.8227526229355,0.0013937353723077616,4.2857142857142865
9,2021,10,06,34,Y,N,2,individual7,9,7.872698457393397,0.0022361789617501393,4.35511856564488
10,2021,10,06,34,Y,N,2,individual7,10,5.941799129041517,0.004653671293651249,4.615384615384615
11,2021,10,06,34,Y,N,2,individual7,11,47.451378320782496,0.0019848580198413954,4.072398190045249
12,2021,10,06,34,Y,N,2,individual7,12,,,3.498452012383901
13,2021,10,06,34,Y,N,2,individual7,13,-7.9507168817958025,0.004010768954001845,3.533834586466166
14,2021,10,06,34,Y,N,2,individual7,14,-10.892236369502239,0.0055819481109993,4.441873915558126
0,2021,10,06,34,Y,N,2,individual8,0,29.77133617351181,0.005155518292672391,3.5526315789473686
1,2021,10,06,34,Y,N,2,individual8,1,-4.63664867218704,0.007377160980174474,3.594182825484765
2,2021,10,06,34,Y,N,2,individual8,2,-7.26200066712843,0.011139443225334321,3.255662375753626
3,2021,10,06,34,Y,N,2,individual8,3,-18.407182673232082,0.04114960747169952,5.872826863538938
4,2021,10,06,34,Y,N,2,individual8,4,,,2.3076923076923075
5,2021,10,06,34,Y,N,2,individual8,5,-14.600579668950902,0.010138258158833674,4.493927125506072
6,2021,10,06,34,Y,N,2,individual8,6,171.39179708542534,0.005801623443954133,4.291497975708502
7,2021,10,06,34,Y,N,2,individual8,7,93.51021299731603,0.005823841554735687,3.6532507739938076
8,2021,10,06,34,Y,N,2,individual8,8,9.616055642578742,0.00560942688500491,3.5294117647058827
9,2021,10,06,34,Y,N,2,individual8,9,-35.99619942202098,0.004002422195300554,5.185758513931888
10,2021,10,06,34,Y,N,2,individual8,10,173.84259675268535,0.004713758238717582,5.0
11,2021,10,06,34,Y,N,2,individual8,11,-175.10029679914862,0.008806306411437995,5.215311004784688
12,2021,10,06,34,Y,N,2,individual8,12,176.83778917721207,0.009540574286643672,5.047846889952153
13,2021,10,06,34,Y,N,2,individual8,13,,,4.368421052631579
0,2021,10,06,38,Y,N,0,individual1,0,,,3.0
1,2021,10,06,38,Y,N,0,individual1,1,,,2.1879699248120303
2,2021,10,06,38,Y,N,0,individual1,2,-6.846606732251102,0.015596685761757215,2.264661654135338
3,2021,10,06,38,Y,N,0,individual1,3,-0.03716462859895136,0.014317850702558518,2.4
4,2021,10,06,38,Y,N,0,individual1,4,-2.421748798041348,0.014041105925543827,2.4
5,2021,10,06,38,Y,N,0,individual1,5,-6.096394320476242,0.013170659401560736,1.297607655502392
6,2021,10,06,38,Y,N,0,individual1,6,-2.389805633919734,0.011647727488909885,1.0909090909090906
7,2021,10,06,38,Y,N,0,individual1,7,-1.74655464695434,0.010554766832686838,1.0909090909090906
8,2021,10,06,38,Y,N,0,individual1,8,2.9594580965207724,0.0107087029883007,2.7641831852358165
9,2021,10,06,38,Y,N,0,individual1,9,7.134208706037307,0.014673595780500912,2.0300751879699246
0,2021,10,06,38,Y,N,0,individual2,0,14.568541492212542,0.018880231070334708,1.875
1,2021,10,06,38,Y,N,0,individual2,1,-1.4118443095374669,0.017889441324460287,2.144138755980861
2,2021,10,06,38,Y,N,0,individual2,2,-5.394703232609509,0.015420094644156578,2.7085500312044934
3,2021,10,06,38,Y,N,0,individual2,3,1.5628403038132102,0.013992737835075042,2.608695652173913
4,2021,10,06,38,Y,N,0,individual2,4,9.764109773860861,0.013611090045986856,1.3467062661278542
5,2021,10,06,38,Y,N,0,individual2,5,41.31542758380616,0.01678626585684318,1.2765957446808511
6,2021,10,06,38,Y,N,0,individual2,6,48.492049564016796,0.023898667582516984,1.5600503919372901
7,2021,10,06,38,Y,N,0,individual2,7,128.48419507628185,0.029525515089484398,1.875
8,2021,10,06,38,Y,N,0,individual2,8,167.14231662968518,0.026482672175433385,1.550064184852375
9,2021,10,06,38,Y,N,0,individual2,9,-169.69177776759605,0.01806628975497616,1.4634146341463417
10,2021,10,06,38,Y,N,0,individual2,10,-161.85180493043896,0.013819952833102774,2.5336125937436655
11,2021,10,06,38,Y,N,0,individual2,11,-164.70321560359392,0.012346063876884928,2.8859229413246035
12,2021,10,06,38,Y,N,0,individual2,12,-150.59775154742806,0.010821268770889195,2.271320011258092
13,2021,10,06,38,Y,N,0,individual2,13,-139.017413551302,0.009493534622680454,1.7647058823529413
