,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Spatial_Auto,Sync
0,2021,08,03,08,Y,N,0,individual7xindividual5,0,,,,,,,0.2302069256673778,,,0.37352028877724586
1,2021,08,03,08,Y,N,0,individual7xindividual5,1,1.2031701663485137,-0.9543032451595309,1.535680022958273,-38.45415965873652,74.24879334300013,1.0172781326092324,0.12561783360428913,0.8916602990049431,,0.10312757550180669
2,2021,08,03,08,Y,N,0,individual7xindividual5,2,0.9645085901281703,-0.8900430869920917,1.3124227661593817,-42.746562905564645,70.38544684057469,0.9523449930840392,0.49033888353682614,0.4620061095472129,0.5741160884027279,0.9243824064963783
3,2021,08,03,08,Y,N,0,individual7xindividual5,3,1.0542230706299427,-0.6691022634305972,1.24863290104673,-32.40065492037442,18.532518271202694,1.0405992532997386,1.7515828800548634,-0.7109836267551242,0.7285308620796203,0.40182150446561277
4,2021,08,03,08,Y,N,0,individual7xindividual5,4,1.0708129260976278,-0.5638202890646304,1.210179177253801,-27.78164559353431,6.364259395076021,1.2055371446013219,0.8242797534405678,0.3812573911607544,0.9371523126805503,0.09079940599220394
5,2021,08,03,08,Y,N,0,individual7xindividual5,5,0.91101881647123,-0.536953095173166,1.0574847092893038,-30.563708780186175,1.5418741609939088,1.152388254549139,0.6648093501790149,0.48757890437012397,0.9423271545577797,0.09079940599220394
6,2021,08,03,08,Y,N,0,individual7xindividual5,6,0.7722072538860104,-0.552879465503136,0.9497261428060232,-35.65994103934374,6.1078062516669505,1.3437657008210728,0.8595044572258235,0.48426124359524986,0.8831561239453983,0.3496752267087255
7,2021,08,03,08,Y,N,0,individual7xindividual5,7,,,,,,1.5176093012454492,,,,0.4571307310759504
8,2021,08,03,08,Y,N,0,individual7xindividual5,8,0.7743563825413365,-0.5151705373339288,0.9300690779288567,-33.647305140255895,6.244091276248923,1.4972237067044525,1.8685818766904176,-0.3713581699859651,0.7589086509648294,0.1694728150386455
9,2021,08,03,08,Y,N,0,individual7xindividual5,9,,,,,,1.5630329906606206,,,,0.2723473580026885
10,2021,08,03,08,Y,N,0,individual7xindividual5,10,1.0744417780201798,-0.4286293973275157,1.1567835988673572,-21.76759913958719,24.202595379085547,1.4436804125703626,1.3369654045302242,0.10671500804013846,0.6460377865550163,0.33748529999875854
0,2021,08,03,08,Y,N,0,individual8xindividual5,0,,,,,,,0.2302069256673778,,,0.0689227288731335
1,2021,08,03,08,Y,N,0,individual8xindividual5,1,-2.385551892364827,-1.19722806046651,2.6691221140917865,-153.43773951879183,167.53391757288745,2.164622648714674,0.12561783360428913,2.039004815110385,,0.31947641542456234
2,2021,08,03,08,Y,N,0,individual8xindividual5,2,,,,,,,0.49033888353682614,,,0.8045722225214589
3,2021,08,03,08,Y,N,0,individual8xindividual5,3,,,,,,,1.7515828800548634,,,0.5608908925352727
