pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
-0.638046,0.275851,0.047281,-1.435675,-0.109886,-0.390813
-0.621770,0.274904,0.092017,-1.422025,-0.114321,-0.340000
-0.605772,0.275871,0.137223,-1.408432,-0.116766,-0.288404
-0.589635,0.278202,0.184476,-1.391944,-0.117439,-0.242172
-0.573774,0.281922,0.233212,-1.376146,-0.116034,-0.195174
-0.557053,0.287226,0.279533,-1.360354,-0.113015,-0.148005
-0.538345,0.293591,0.323063,-1.344345,-0.108198,-0.101042
-0.519223,0.301783,0.365744,-1.327679,-0.102416,-0.054452
-0.499712,0.310726,0.407839,-1.309979,-0.096218,-0.007444
-0.480066,0.320239,0.449414,-1.290892,-0.089105,0.036385
-0.459448,0.330164,0.489211,-1.271217,-0.080936,0.076824
-0.436495,0.340694,0.524873,-1.252502,-0.072558,0.121443
-0.413036,0.350801,0.558717,-1.233528,-0.063900,0.164847
-0.388042,0.361046,0.586355,-1.212449,-0.055407,0.200003
-0.362643,0.370817,0.611724,-1.189855,-0.047644,0.230710
-0.336814,0.379208,0.634793,-1.164497,-0.040147,0.252667
-0.309489,0.387565,0.651460,-1.137087,-0.033273,0.268712
-0.283492,0.394071,0.666799,-1.107807,-0.028345,0.280081
-0.253097,0.399923,0.672227,-1.076553,-0.023738,0.284203
-0.221003,0.405181,0.671577,-1.044875,-0.020389,0.286549
-0.187036,0.408944,0.665713,-1.011210,-0.017363,0.281768
-0.148840,0.411604,0.651985,-0.975378,-0.015081,0.271987
-0.109296,0.412929,0.632843,-0.937434,-0.014522,0.256626
-0.068306,0.412521,0.609630,-0.894899,-0.018583,0.227368
-0.025604,0.410883,0.581475,-0.851806,-0.021602,0.199902
0.018436,0.408086,0.549460,-0.807786,-0.024205,0.168458
0.059881,0.404063,0.520694,-0.762742,-0.027795,0.133227
0.102051,0.399024,0.490414,-0.717081,-0.031889,0.096114
0.149155,0.394185,0.450063,-0.670221,-0.035877,0.056933
0.197086,0.388904,0.408065,-0.622369,-0.040609,0.016333
0.246459,0.384982,0.362685,-0.573198,-0.045723,-0.027541
0.296190,0.381041,0.315991,-0.521899,-0.051259,-0.077217
0.348591,0.377151,0.261624,-0.467619,-0.056025,-0.135301
0.398733,0.373493,0.206989,-0.415756,-0.060617,-0.192026
0.448403,0.370384,0.151466,-0.367205,-0.064382,-0.246068
0.490357,0.367904,0.102791,-0.321216,-0.067968,-0.298736
0.532152,0.365846,0.053731,-0.275916,-0.071622,-0.352746
0.567793,0.362629,0.013535,-0.233462,-0.074726,-0.403351
0.605429,0.359912,-0.031650,-0.193394,-0.076720,-0.449855
0.642001,0.358811,-0.071979,-0.154841,-0.076914,-0.493479
0.678403,0.359723,-0.110918,-0.116003,-0.076658,-0.533143
0.713398,0.362124,-0.144080,-0.075113,-0.074950,-0.574527
0.752725,0.365235,-0.181559,-0.035518,-0.073012,-0.610595
0.789943,0.368601,-0.211692,0.004494,-0.070791,-0.644538
0.826302,0.371972,-0.236803,0.042700,-0.067867,-0.672549
0.861815,0.374470,-0.255420,0.079679,-0.065080,-0.693610
0.898271,0.375787,-0.270211,0.114720,-0.062070,-0.706387
0.935948,0.377018,-0.283079,0.149930,-0.059881,-0.716261
0.973586,0.376997,-0.291263,0.188987,-0.060300,-0.726958
1.012120,0.376159,-0.295834,0.226762,-0.061304,-0.732444
1.051633,0.373841,-0.299277,0.263881,-0.062752,-0.733505
1.089900,0.368895,-0.296630,0.297166,-0.064554,-0.726231
1.127966,0.363620,-0.292451,0.326109,-0.066460,-0.710694
1.157688,0.358500,-0.273815,0.351038,-0.066327,-0.689830
1.186538,0.355015,-0.252833,0.375464,-0.065976,-0.670436
1.212238,0.354362,-0.228058,0.396421,-0.064539,-0.643024
1.228869,0.356247,-0.194538,0.414995,-0.062455,-0.611773
1.246591,0.359533,-0.162162,0.433420,-0.060874,-0.579499
1.261388,0.363935,-0.125063,0.447253,-0.058203,-0.539246
1.274765,0.369889,-0.084894,0.459694,-0.054710,-0.496207
1.285754,0.377310,-0.038462,0.469346,-0.049898,-0.444913
1.295154,0.386938,0.011335,0.477859,-0.043059,-0.392192
1.302814,0.398570,0.064438,0.487075,-0.035147,-0.340782
1.309861,0.409668,0.118925,0.494302,-0.027214,-0.283385
1.316259,0.420863,0.174313,0.500832,-0.018962,-0.224670
1.322564,0.432072,0.230076,0.506147,-0.009979,-0.163493
1.328615,0.443093,0.286914,0.510411,-0.000942,-0.100286
1.333226,0.453851,0.348860,0.515412,0.007975,-0.037014
1.343113,0.464569,0.405604,0.524448,0.015774,0.024090
1.353692,0.474263,0.463456,0.533446,0.020009,0.089359
1.366271,0.483415,0.521123,0.545419,0.025072,0.151748
1.381929,0.491696,0.577062,0.559013,0.030123,0.214256
1.400346,0.498319,0.630853,0.576509,0.034503,0.272174
1.418752,0.503294,0.686309,0.594803,0.038222,0.330853
1.436939,0.508040,0.741526,0.613195,0.041305,0.389483
1.455721,0.511938,0.795763,0.631577,0.042422,0.448399
1.475098,0.513775,0.848886,0.652789,0.040864,0.503221
1.497479,0.513326,0.897906,0.675080,0.038206,0.555953
1.521726,0.511639,0.941334,0.699733,0.032618,0.604698
1.547593,0.508530,0.981607,0.722927,0.025513,0.654306
1.575617,0.504221,1.016878,0.746292,0.016491,0.702356
1.606650,0.499143,1.044345,0.771163,0.006262,0.743382
1.633241,0.491432,1.074549,0.797062,-0.005521,0.779635
