,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Speed_Diff,Sync
1,2021,10,06,39,Y,N,0,individual3xindividual7,1,-0.1437540223616036,1.8773648759203714,1.8828606152035396,94.34547581960334,157.2126065455619,0.46443798793814506,0.3606975267373993
2,2021,10,06,39,Y,N,0,individual3xindividual7,2,-0.3415306790291792,1.9397392964275977,1.9695765389604853,99.96473768958504,155.34436755530743,0.3040520737322868,0.46231274935631433
3,2021,10,06,39,Y,N,0,individual3xindividual7,3,-0.5344265066812108,1.9562598854649578,2.027945864790984,105.25625675296878,150.6595333267508,0.2224466516717584,0.6824790650306304
4,2021,10,06,39,Y,N,0,individual3xindividual7,4,-0.7592443414235069,1.8999558221979822,2.0460410788367924,111.75904862694297,165.09833023621715,0.4288782791655316,0.7048394502589113
5,2021,10,06,39,Y,N,0,individual3xindividual7,5,-1.0024425961276249,1.9218821925279517,2.16760751071017,117.53020102442729,165.0599110086066,0.28225126896018804,0.7764057004267871
6,2021,10,06,39,Y,N,0,individual3xindividual7,6,-1.2261857103899647,1.9479130079083717,2.301715986550726,122.17135667761589,166.7507835976048,0.3729008642511143,0.8856454155270985
7,2021,10,06,39,Y,N,0,individual3xindividual7,7,-1.4291838014725933,1.9635923097900194,2.428633586496357,126.03675636761231,171.72087356951045,0.43953880181637556,0.9362220856034512
8,2021,10,06,39,Y,N,0,individual3xindividual7,8,-1.6579571857103899,1.9518868284701392,2.560992819358136,130.32297939144152,175.44218226518564,0.5438581738689698,0.9357762310042649
9,2021,10,06,39,Y,N,0,individual3xindividual7,9,-1.8696321243523315,1.9425388601036264,2.696104876191375,133.89271842714058,174.39980425109115,0.5124453779490663,0.9554950943057335
0,2021,10,06,39,Y,N,0,individual8xindividual3,0,-2.666967275702209,0.06176547586583033,2.6676824068234577,140.78566996785273,24.616040532939028,-0.007034803582099409,0.44216735521428224
1,2021,10,06,39,Y,N,0,individual8xindividual3,1,-2.534922279792746,-0.3009288246523043,2.552721904574854,-173.2139995624874,64.12337365784363,0.35825686802447754,0.45002959652913505
2,2021,10,06,39,Y,N,0,individual8xindividual3,2,-2.3581044450504502,-0.6330209980910827,2.4415921358390147,-164.80414676423038,93.49924359779892,1.0280311750047495,0.5168586477053844
3,2021,10,06,39,Y,N,0,individual8xindividual3,3,,,,,,,0.38782651230095755
4,2021,10,06,39,Y,N,0,individual8xindividual3,4,,,,,,,0.3520124016813863
5,2021,10,06,39,Y,N,0,individual8xindividual3,5,-0.9400901256002893,-0.9052240269851825,1.305067041681169,-135.88615649780922,174.452676038782,1.3075516224713797,0.3391006403133405
6,2021,10,06,39,Y,N,0,individual8xindividual3,6,-0.5306373056994819,-0.7934491409871831,0.954535221735324,-123.3700723443468,162.6536591593769,0.22479223092352613,0.3391006403133405
7,2021,10,06,39,Y,N,0,individual8xindividual3,7,-0.18250422688846477,-0.7412200709026453,0.7633577053656292,-103.4082011639462,162.99883395461208,0.24905505990481475,0.3391006403133405
8,2021,10,06,39,Y,N,0,individual8xindividual3,8,0.10475565857649315,-0.5190848104717752,0.5295496090701169,-78.68466329965477,143.62666369656995,0.07093875217915979,0.281500938609449
0,2021,10,06,39,Y,N,0,individual4xindividual5,0,2.2845985819470953,-0.04601036269430049,2.285061844701351,-1.1767314940631943,149.34624139420487,-0.3468050709567959,0.7145602777443005
1,2021,10,06,39,Y,N,0,individual4xindividual5,1,,,,,,,0.5122114663711776
2,2021,10,06,39,Y,N,0,individual4xindividual5,2,2.795831469866376,0.2371936187619308,2.8058749830804226,4.82685771693543,96.02824248154731,-0.14992840790559223,0.3300975361353669
3,2021,10,06,39,Y,N,0,individual4xindividual5,3,,,,,,,0.2818034130781935
4,2021,10,06,39,Y,N,0,individual4xindividual5,4,2.7510588251704946,0.37020597188932736,2.775856105991624,7.666304006665865,31.03413470568013,-0.4373131829848503,0.2761217515420555
5,2021,10,06,39,Y,N,0,individual4xindividual5,5,,,,,,,0.2761217515420555
6,2021,10,06,39,Y,N,0,individual4xindividual5,6,,,,,,,0.2761217515420555
0,2021,10,06,39,Y,N,0,individual4xindividual6,0,1.8660332697027542,-0.6055901281701663,1.961840861786376,-17.980558862116066,5.835705075269958,-0.27173943999464484,0.3783884579847637
1,2021,10,06,39,Y,N,0,individual4xindividual6,1,,,,,,,0.44287096607408105
2,2021,10,06,39,Y,N,0,individual4xindividual6,2,1.5464783201527132,-0.3932735205890373,1.5957002402390161,-14.219036994630908,43.58366535562697,0.19118192815451282,0.5009052233544665
3,2021,10,06,39,Y,N,0,individual4xindividual6,3,1.2605854922279796,-0.2893496045814017,1.293367301615079,-13.05649536959978,83.94398345534836,0.6782965988006362,0.6620089709114926
4,2021,10,06,39,Y,N,0,individual4xindividual6,4,0.8001398963730569,-0.09301090809926371,0.8055277045473581,-6.47348626687274,129.0703989007595,0.18626267662219703,0.680962352977025
5,2021,10,06,39,Y,N,0,individual4xindividual6,5,0.4635366784837742,0.0045413144259612665,0.46355892380201824,0.9716285130150225,129.24938018081127,-0.0397611067448561,0.8117979488802237
6,2021,10,06,39,Y,N,0,individual4xindividual6,6,,,,,,,0.8721836085278539
0,2021,10,06,39,Y,N,0,individual7xindividual4,0,-0.8157807472047996,-0.912459776383965,1.2239612212111528,-131.8109424491204,10.43854122742061,-0.3304042969181733,0.36738959390232334
1,2021,10,06,39,Y,N,0,individual7xindividual4,1,,,,,,,0.3570998393242776
2,2021,10,06,39,Y,N,0,individual7xindividual4,2,-0.723639760021816,-1.2839255522225252,1.4738111568088863,-119.44938881441433,63.550872230274926,-0.4377648228296415,0.3558892799621545
3,2021,10,06,39,Y,N,0,individual7xindividual4,3,-0.4964333242432507,-1.362904281428961,1.4505013360064845,-109.79463564235007,93.22160263284007,-1.011056388682028,0.5751353825034303
4,2021,10,06,39,Y,N,0,individual7xindividual4,4,-0.1357150259067358,-1.4504254158712844,1.456760946505038,-95.43117198480464,121.22163380680274,-0.5232735733971815,0.6644579712009382
5,2021,10,06,39,Y,N,0,individual7xindividual4,5,0.10164930460867183,-1.5515814016907554,1.5549075301123458,-86.28287071136566,121.59927119107225,-0.3012562824460801,0.6612931924895525
6,2021,10,06,39,Y,N,0,individual7xindividual4,6,,,,,,,0.6783498460031703
0,2021,10,06,39,Y,N,0,individual4xindividual8,0,3.380914644123261,-0.9486577583856013,3.5114862057812943,-15.687481992481818,167.17020315551477,-0.2747656822373806,0.37426684518580916
1,2021,10,06,39,Y,N,0,individual4xindividual8,1,,,,,,,0.47676474573287225
2,2021,10,06,39,Y,N,0,individual4xindividual8,2,3.4232748841014446,-0.022792746113989598,3.4233507622496377,-0.302130208496685,161.27018630260892,-0.8943184259073945,0.5690128562252289
3,2021,10,06,39,Y,N,0,individual4xindividual8,3,,,,,,,0.777421695097812
4,2021,10,06,39,Y,N,0,individual4xindividual8,4,,,,,,,0.8019403820239982
5,2021,10,06,39,Y,N,0,individual4xindividual8,5,1.840883417119242,0.534923236147986,1.9170275490966873,16.231811189043363,136.08285399915937,-1.2885466089854873,0.8012625970426351
6,2021,10,06,39,Y,N,0,individual4xindividual8,6,,,,,,,0.8009497732050829
0,2021,10,06,39,Y,N,0,individual5xindividual6,0,-0.4185653122443414,-0.559579765475866,0.6988035736487244,-126.10348090967356,143.51296836489507,0.07506563096215119,0.4220505658425369
1,2021,10,06,39,Y,N,0,individual5xindividual6,1,-0.8501508044723206,-0.627712844286883,1.0567780302540655,-143.15788518467957,140.60201170861424,0.3461782129770362,0.4850267319744354
2,2021,10,06,39,Y,N,0,individual5xindividual6,2,-1.2493531497136623,-0.6304671393509681,1.3994184886948013,-153.06483007440394,139.6086686011523,0.34111033606010505,0.6439734563742522
3,2021,10,06,39,Y,N,0,individual5xindividual6,3,,,,,,,0.742113414774646
4,2021,10,06,39,Y,N,0,individual5xindividual6,4,-1.950918928797437,-0.4632168799885911,2.005156987531526,-166.61801121632817,160.10610038437477,0.6235758596070472,0.8649140939057575
5,2021,10,06,39,Y,N,0,individual5xindividual6,5,,,,,,,0.8649140939057575
0,2021,10,06,39,Y,N,0,individual5xindividual7,0,-1.4688178347422962,0.9584701390782657,1.753878798310122,146.82380151757948,159.78227712286332,0.6772093678749692,0.9160266226001729
1,2021,10,06,39,Y,N,0,individual5xindividual7,1,-1.7823122443414237,0.9964213253340604,2.0419334939977474,150.7603187048567,163.9342698248701,0.7480893634206478,0.6078772891942416
2,2021,10,06,39,Y,N,0,individual5xindividual7,2,-2.0721917098445597,1.0467319334605947,2.3215568532505673,153.17696771708097,159.57989790752703,0.5876932307352337,0.44132219061215017
3,2021,10,06,39,Y,N,0,individual5xindividual7,3,,,,,,,0.3736529456809034
4,2021,10,06,39,Y,N,0,individual5xindividual7,4,-2.6153437992637585,1.0802194439819572,2.8296461325586417,157.54921991362752,152.25439384775967,0.9605867563820316,0.29333069281990454
5,2021,10,06,39,Y,N,0,individual5xindividual7,5,,,,,,,0.29333069281990454
0,2021,10,06,39,Y,N,0,individual8xindividual5,0,-1.096316062176166,0.9026473956913007,1.4200990208903543,140.55434541435739,17.897357483287347,-0.07203938871941529,0.41467198340944217
1,2021,10,06,39,Y,N,0,individual8xindividual5,1,-0.896364057812926,0.5800147259340059,1.067654254166186,147.30357787114758,57.38433857693337,0.07460549254197484,0.4431885093364253
2,2021,10,06,39,Y,N,0,individual8xindividual5,2,-0.6274434142350696,0.25998636487592036,0.6791746078795616,158.35865086123286,89.17830630113043,0.7443900180018026,0.6855789797157819
3,2021,10,06,39,Y,N,0,individual8xindividual5,3,,,,,,,0.672918587991278
4,2021,10,06,39,Y,N,0,individual8xindividual5,4,,,,,,,0.7674436338812276
5,2021,10,06,39,Y,N,0,individual8xindividual5,5,,,,,,,0.87510904425711
6,2021,10,06,39,Y,N,0,individual8xindividual5,6,1.3898084343036259,0.006619007320821358,1.3898241958317639,0.2824571900310067,,-0.015387273081268825,0.87510904425711
7,2021,10,06,39,Y,N,0,individual8xindividual5,7,1.7026798472866105,,,,,,0.87510904425711
8,2021,10,06,39,Y,N,0,individual8xindividual5,8,1.6100384510499048,-0.11943959640032724,1.6144626446739019,-4.210087813637528,31.264519267260585,-0.881079128324255,0.9187657121696862
0,2021,10,06,39,Y,N,0,individual6xindividual7,0,-1.0502525224979546,1.5180499045541314,1.8459430851816976,124.69895063937051,16.275876513529393,0.602143736912818,0.17282216544613807
1,2021,10,06,39,Y,N,0,individual6xindividual7,1,-0.9321614398691027,1.6241341696209435,1.8726283002531898,119.85062051919397,23.33242969468104,0.4019111504436115,0.1200755411169757
