,Year,Month,Day,Trial,Individual,Tailbeat,Ablation,Darkness,Flow,Angle_to_NN,Angle_PS,Distance_to_NN,Acceleration
2,2024,01,19,06,individual4,3.0,Y,Y,2,-1.1246792890797648,0.0036610706488195486,0.7475973659925522,0.0014806321737250694
3,2024,01,19,06,individual4,4.0,Y,Y,2,-2.838909474249155,0.0023428394260789245,1.1521102836861987,-0.0015678289175564426
4,2024,01,19,06,individual4,5.0,Y,Y,2,-2.6869897422484605,-0.005156163770852202,1.515356239942846,6.277612601474829e-05
5,2024,01,19,06,individual4,6.0,Y,Y,2,-2.6469864178500204,-0.0018078600060613494,1.8806829118100623,-0.00015687367297564852
6,2024,01,19,06,individual4,7.0,Y,Y,2,-2.6506170988961175,-0.003226871281788086,2.1511705038810116,2.5205914026410664e-05
7,2024,01,19,06,individual4,8.0,Y,Y,2,1.7934631370133893,-0.010556332526240818,2.27016388270475,0.0018682426136490207
8,2024,01,19,06,individual4,9.0,Y,Y,2,2.6635431681179242,0.001563844640405802,2.2943036750281123,-0.0017047184529677625
9,2024,01,19,06,individual4,10.0,Y,Y,2,-0.9703683314550081,-0.0011686908396256561,2.3741323734614386,-4.998575631809036e-05
10,2024,01,19,06,individual4,11.0,Y,Y,2,-1.615368857205874,-0.008418535106313093,2.5265794743283094,0.002509165562991135
11,2024,01,19,06,individual4,12.0,Y,Y,2,-2.9732561149786925,-0.008856240216664923,2.476066934451382,-0.000944415345366296
12,2024,01,19,06,individual4,13.0,Y,Y,2,-3.039191567863097,-0.0001239154727834942,2.1912261507297885,0.0009718090112973125
13,2024,01,19,06,individual4,14.0,Y,Y,2,-3.0112176328778077,-0.01103742454548859,1.8464010854567043,-0.002069627751098055
14,2024,01,19,06,individual4,15.0,Y,Y,2,-2.793635231343893,-0.001393100179687708,1.339269349844892,0.002160117945442798
15,2024,01,19,06,individual4,16.0,Y,Y,2,-2.4494320952499455,0.023509389730533983,0.9019959900105525,0.030017996141578535
16,2024,01,19,06,individual4,17.0,Y,Y,2,-2.3220715615296452,0.011395621621998824,0.7164880786929698,-0.03661056514070754
17,2024,01,19,06,individual4,18.0,Y,Y,2,-2.3392238400759724,0.0035278804088247537,0.7376150174916749,-0.00020571602726555
18,2024,01,19,06,individual4,19.0,Y,Y,2,-2.610982742349382,0.009698708786263832,0.7536914838824015,-4.564700191547189e-05
19,2024,01,19,06,individual4,20.0,Y,Y,2,-2.676252445799261,0.0016825626709702358,0.877746767109627,2.4040414304270467e-05
20,2024,01,19,06,individual4,21.0,Y,Y,2,-2.7099297401479405,-0.0018000009455897876,1.0359646252156949,-2.6630518203520558e-05
21,2024,01,19,06,individual4,22.0,Y,Y,2,-2.787021926833964,0.004439187546086215,1.3356985665911214,0.00012400358472236116
22,2024,01,19,06,individual4,23.0,Y,Y,2,-2.794235927306337,0.01332180796021158,1.6460704404780253,0.0001422780642950353
23,2024,01,19,06,individual4,24.0,Y,Y,2,-2.7520910857449863,0.0016085598196408462,1.7990372071239193,-7.567835302075708e-05
24,2024,01,19,06,individual4,25.0,Y,Y,2,-2.5720670262280163,0.013009325090703487,2.0360761147234268,0.002676906809727
25,2024,01,19,06,individual4,26.0,Y,Y,2,-2.3387615948416443,-0.08005975920701601,2.1478129169897184,0.00018622872448626802
26,2024,01,19,06,individual4,27.0,Y,Y,2,-2.335005872418171,0.005505905261853624,1.7010706188603975,-0.002295242222826655
27,2024,01,19,06,individual4,28.0,Y,Y,2,-2.5035162066392345,0.0032327920201422316,1.1466451526088517,0.0024162713889371965
28,2024,01,19,06,individual4,29.0,Y,Y,2,-1.0918455494835013,0.0036418523342550578,0.8811392999084623,0.00013449632567993117
29,2024,01,19,06,individual4,30.0,Y,Y,2,2.7686151610095275,-0.003968913941766672,1.1753236285974924,-0.002686717125078043
30,2024,01,19,06,individual4,31.0,Y,Y,2,,,1.537825284254544,-0.00015761942296590968
0,2024,01,19,06,individual5,1.0,Y,Y,2,-0.8981967993986766,-0.06778033044649202,0.3509573755317456,-8.51405518110528e-05
1,2024,01,19,06,individual5,2.0,Y,Y,2,-0.44165077584410023,0.0028697002461646488,0.4497291154856979,-2.3665881139371097e-05
